year,population
2025,505000.0
2024,498000.0
2023,491000.0
2022,484000.0
2021,477000.0
2020,470000.0
2019,462000.0
2018,455000.0
2017,447000.0
2016,438000.0
2015,430000.0
2014,422000.0
2013,414000.0
2012,406000.0
2011,398000.0
2010,391000.0
2009,383000.0
2008,376000.0
2007,369000.0
2006,361000.0
2005,353000.0
2004,346000.0
2003,339000.0
2002,332000.0
2001,325000.0
2000,318000.0
1999,312000.0
1998,305000.0
1997,299000.0
1996,292000.0
1995,286000.0
1994,280000.0
1993,274000.0
1992,265000.0
1991,256000.0
1990,247000.0
