year,population
2025,2434000.0
2024,2437000.0
2023,2440000.0
2022,2443000.0
2021,2445000.0
2020,2448000.0
2019,2451000.0
2018,2454000.0
2017,2457000.0
2016,2460000.0
2015,2463000.0
2014,2466000.0
2013,2469000.0
2012,2472000.0
2011,2475000.0
2010,2478000.0
2009,2481000.0
2008,2484000.0
2007,2487000.0
2006,2490000.0
2005,2493000.0
2004,2496000.0
2003,2499000.0
2002,2502000.0
2001,2505000.0
2000,2508000.0
1999,2494000.0
1998,2475000.0
1997,2456000.0
1996,2437000.0
1995,2418000.0
1994,2400000.0
1993,2381000.0
1992,2363000.0
1991,2345000.0
1990,2327000.0
1989,2215000.0
1988,2080000.0
1987,1953000.0
1986,1834000.0
1985,1722000.0
1984,1617000.0
1983,1519000.0
1982,1426000.0
1981,1339000.0
1980,1258000.0
1979,1209000.0
1978,1173000.0
1977,1137000.0
1976,1102000.0
1975,1069000.0
1974,1036000.0
1973,1004000.0
1972,974000.0
1971,944000.0
1970,915000.0
1969,879000.0
1968,842000.0
1967,807000.0
1966,773000.0
1965,740000.0
1964,709000.0
1963,679000.0
1962,650000.0
1961,623000.0
1960,596000.0
1959,578000.0
1958,562000.0
1957,547000.0
1956,532000.0
1955,517000.0
1954,503000.0
1953,490000.0
1952,476000.0
1951,463000.0
1950,451000.0
